"Test","Genotype","AgScore","Bulk.Weight","HT","Hundred.Seed.Weight","LDG","Oil.Dry.Basis","P_O","Protein.Dry.Basis"
"Yield Test 2","N18-1628",2.83333333333333,2145.45706530881,39.1666666666666,14.65,2.58333333333333,20.5483333333333,68.865,48.3166666666666
"Yield Test 2","N18-1630",1.66666666666666,2209.55742208041,29.3333333333333,16.95,1.49999999999999,20.7733333333333,66.6416666666667,45.8683333333334
"Yield Test 2","N18-1632",2.33333333333332,2483.97204809803,34.1666666666666,15.65,2.08333333333333,22.4583333333333,67.43,44.9716666666666
"Yield Test 2","N18-1633",2.33333333333333,2239.33283304472,33.5,16.75,2.25,21.3966666666667,65.5633333333334,44.1666666666667
"Yield Test 2","N18-1635",2.24999999999999,2358.80435778349,37.8333333333333,16.825,2.16666666666667,22.7083333333333,66.1600000000001,43.4516666666667
"Yield Test 2","N18-1641",2.66666666666666,2657.33521727779,36.1666666666666,16.2,2.33333333333333,22.7383333333333,65.69,42.9516666666667
"Yield Test 2","N18-1645",2.16666666666666,2386.36048345853,32.5,14.425,2.08333333333333,21.2983333333333,66.5183333333334,45.22
"Yield Test 2","N18-1663",2.16666666666666,2216.9550397113,36.8333333333333,16.525,2.08333333333333,20.845,66.5966666666667,45.7516666666667
"Yield Test 2","N18-1665",2.66666666666666,2497.10281939285,36.3333333333333,15.025,2.49999999999999,22.6283333333333,64.56,41.9316666666667
"Yield Test 2","N18-1674",2.49999999999999,2477.57310884732,35.1666666666667,16.1,2.16666666666666,22.08,66.6383333333334,44.5583333333333
"Yield Test 2","N18-1675",2.5,2438.99453290226,36.8333333333334,15.475,2.33333333333333,20.3866666666667,66.7550000000001,46.3683333333334
"Yield Test 2","N18-1682",2.25,2346.48732442807,33,15.1,2.25,22.34,66.8333333333334,44.4933333333333
"Yield Test 2","N18-1688",2.41666666666666,2319.1161391938,34.6666666666666,16.2,2.08333333333333,21.5066666666667,66.08,44.5733333333333
"Yield Test 2","N18-1699",2.25,2239.03692833948,33.5,15.525,2.16666666666666,20.7966666666667,68.0916666666667,47.295
"Yield Test 2","N18-1711",1.99999999999999,2403.30102783325,33.1666666666667,14.15,1.91666666666667,21.82,65.7766666666667,43.9566666666667
"Yield Test 2","N18-1731",2.25,2387.69205463208,36.3333333333333,17.95,1.91666666666666,22.3,66.5,44.2
"Yield Test 2","N18-1745",1.91666666666666,2406.11212253299,35,15.925,1.83333333333333,21.6,66.1133333333334,44.5133333333333
"Yield Test 2","N18-1747",2.33333333333333,1968.35809922546,36.6666666666667,16.625,2.16666666666666,20.0883333333333,66.855,46.7666666666667
"Yield Test 2","N18-1748",3,2485.89542868206,43.3333333333333,14.175,2.58333333333333,21.11,65.86,44.75
"Yield Test 2","N18-1751",2.08333333333333,2726.09607315685,32.6666666666666,16.325,2.08333333333333,22.3216666666667,65.84,43.5183333333333
"Yield Test 2","N18-1763",2.16666666666666,2402.22837327677,34.3333333333333,14.95,2.25,21.0816666666667,67.5666666666667,46.485
"Yield Test 2","N18-1777",2.5,2400.89680210321,36,15.9,2.16666666666666,21.3933333333333,65.2733333333334,43.88
